,Borough,Address,Latitude,Longitude
332,MN,1416 3 AVENUE,40.7753399,-73.9568686
333,MN,390 AVENUE OF THE AMER,40.7332326,-73.9994876
334,MN,7 EAST 74 STREET,40.773652,-73.9651954
335,MN,175 LEXINGTON AVENUE,40.7442677,-73.9809417
336,MN,180 ST NICHOLAS AVENUE,40.8058953,-73.9524672
337,MN,1 EAST BROADWAY,40.7132261,-73.9978718
338,MN,15 WEST 9 STREET,40.7334577,-73.9968103
339,MN,418 EAST 78 STREET,40.7710289,-73.9522971
340,MN,127 WEST 96 STREET,40.7937912,-73.9690167
341,MN,38 LAFAYETTE STREET,40.7151364,-74.0038165
342,MN,523 WEST 149 STREET,40.8284159,-73.9466877
343,MN,564 RIVERSIDE DRIVE,40.8168717,-73.9603497
344,MN,17 EAST 66 STREET,40.7683556,-73.968552
345,MN,120 WEST 112 STREET,40.7998681,-73.9531144
346,MN,446 WEST 19 STREET,40.7447028,-74.0052617
347,MN,143 WEST 40 STREET,40.7547343,-73.9872479
348,MN,186 WAVERLY PLACE,40.7345446,-74.0016237
349,MN,303 WEST 116 STREET,40.8048591,-73.9556683
350,MN,2026 2 AVENUE,40.7893705,-73.943003
351,MN,212 WEST 138 STREET,40.8174025,-73.9433113
352,MN,265 HENRY STREET,40.7140759,-73.9844782
353,MN,4 WHITE STREET,40.7194867,-74.005772
354,MN,168 EAST 74 STREET,40.7711363,-73.9604166
355,MN,44 GRAMERCY PARK NORTH,40.7380871,-73.9847793
356,MN,233 9 AVENUE,40.7475053,-74.0009889
357,MN,563 WEST 182 STREET,40.8497156,-73.932375
358,MN,137 WEST 87 STREET,40.7878278,-73.9726848
359,MN,547 WEST 133 STREET,40.8186071,-73.9549799
360,MN,249 WEST 21 STREET,40.7438466,-73.998459
361,MN,410 ST NICHOLAS AVENUE,40.8138015,-73.9492644
362,MN,121 WEST 119 STREET,40.8046121,-73.9492389
363,MN,511 WEST 189 STREET,40.8536021,-73.927849
364,MN,78 GREENE STREET,40.7233625,-74.0004221
365,MN,815 2 AVENUE,40.7508395,-73.971841
366,MN,962 MADISON AVENUE,40.7742444,-73.9638447
367,MN,113 AVENUE C,40.7244063,-73.978909
368,MN,63 WEST 128 STREET,40.8094289,-73.9428666
369,MN,448 WEST 55 STREET,40.7672834,-73.9888087
370,MN,134 WEST 71 STREET,40.7770646,-73.9806615
371,MN,500 9 AVENUE,40.7556845,-73.9942321
372,MN,50 EAST 64 STREET,40.7661131,-73.9682823
373,MN,82 TERRACE VIEW AVENUE,40.8772556,-73.9116559
374,MN,512 WEST 172 STREET,40.8426145,-73.9362747
375,MN,575 AMSTERDAM AVENUE,40.7884621,-73.9737788
376,MN,137 WAVERLY PLACE,40.7333012,-74.0003789
377,MN,560 WEST END AVENUE,40.789514,-73.9769924
378,MN,227 WEST 20 STREET,40.7429381,-73.9981667
379,MN,2095 MADISON AVENUE,40.8099392,-73.9372235
380,MN,88 EAST BROADWAY,40.7140055,-73.9943944
381,MN,219 WEST 115 STREET,40.8032528,-73.9541162
382,MN,122 SPRING STREET,40.7236013,-74.0002994
383,MN,158 EAST 62 STREET,40.7634527,-73.9658541
384,MN,127 WEST 133 STREET,40.813524,-73.9429064
385,MN,2153 AMSTERDAM AVENUE,40.8387917,-73.9373011
386,MN,529 WEST 142 STREET,40.8242128,-73.9505789
387,MN,1834 2 AVENUE,40.7832601,-73.9474533
388,MN,106 EAST 13 STREET,40.7331114,-73.9894315
389,MN,513 EAST 118 STREET,40.7962314,-73.9313061
390,MN,29 BETHUNE STREET,40.7367786,-74.0074298
391,MN,215 EAST 96 STREET,40.7851295,-73.9479718
392,MN,257 WEST 117 STREET,40.8048556,-73.9537069
393,MN,747 WEST END AVENUE,40.7957355,-73.9732414
394,MN,375 WEST 207 STREET,40.8637715,-73.9160773
395,MN,69 GREENE STREET,40.723368,-74.0010535
396,MN,126 WEST 81 STREET,40.783544,-73.9757812
397,MN,432 WEST 44 STREET,40.7601694,-73.9933256
398,MN,215 EAST 61 STREET,40.7626647,-73.9647463
399,MN,870 AVENUE OF THE AMER,40.7475926,-73.989061
400,MN,324 EAST 8 STREET,40.7249663,-73.9795149
401,MN,1533 YORK AVENUE,40.7732263,-73.9497213
402,MN,118 EAST 4 STREET,40.7253546,-73.9880256
403,MN,513 WEST 173 STREET,40.8433906,-73.9351102
404,MN,401 WEST 147 STREET,40.8255876,-73.9439511
405,MN,235 WEST 145 STREET,40.8225475,-73.9405032
406,MN,45 BAYARD STREET,40.7150815,-73.9973523
407,MN,218 EAST 50 STREET,40.7553157,-73.9700741
408,MN,351 WEST END AVENUE,40.7828865,-73.9825953
409,MN,781 ST NICHOLAS AVENUE,40.8268718,-73.9433105
410,MN,405 WEST 114 STREET,40.8050831,-73.9604037
411,MN,1080 5 AVENUE,40.7834897,-73.9585857
412,MN,2124 2 AVENUE,40.7926053,-73.9406311
413,MN,531 EAST 11 STREET,40.7280763,-73.9803185
